snapshot_date,case_type,cart_id,status_a,substatus_a,age_days,exists_in_a,exists_in_b,hard_issue,warning,has_issue,any_mismatch,reasons,source_file_a,source_file_b
2026-01-27,warning,0006847,,,17.51446759259259,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006859,,,25.623981481481483,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006880,,,10.76574074074074,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006882,,,39.42873842592593,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006885,,,17.49832175925926,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006888,,,25.623738425925925,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006895,,,25.62412037037037,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006900,,,39.43099537037037,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006905,,,25.623819444444443,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006911,,,25.592256944444443,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006912,,,25.61135416666667,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006913,,,25.585497685185185,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006914,,,17.502164351851853,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006916,,,39.42868055555556,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006918,,,39.43101851851852,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006925,,,10.765972222222222,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006928,,,17.49923611111111,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006929,,,25.60917824074074,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006931,,,25.61608796296296,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006933,,,25.604583333333334,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006936,,,39.42917824074074,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006939,,,25.623599537037038,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006940,,,25.62412037037037,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006941,,,25.614131944444445,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006948,,,6.488356481481482,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006949,,,25.582905092592593,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006950,,,39.42799768518518,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006952,,,39.426759259259256,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006957,,,25.623726851851853,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006959,,,17.50752314814815,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006960,,,10.765462962962962,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006961,,,25.623703703703704,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006964,,,25.623784722222222,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
2026-01-27,warning,0006968,,,39.42775462962963,False,True,False,True,True,False,missing_in_a,,instance_b_2026-01-27.xlsx
